HeatingQC	CentralAir	Electrical	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	KitchenQual	TotRmsAbvGrd	Functional	Fireplaces	FireplaceQu	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	GarageQual	GarageCond	PavedDrive	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	PoolQC	Fence	MiscFeature	MiscVal	MoSold	YrSold	SaleType	SaleCondition
			6.0	2.0		2.0																																	
			6.0			2.0																																	
			6.0	6.0		1.0																3.0																	
			6.0	2.0																																			
			6.0			3.0																																	
			6.0	1.0		6.0																																	
			6.0	3.0		5.0																1.0																	
			6.0			5.0																																	
			6.0	1.0		5.0																																	
			6.0	2.0		2.0																1.0																	
			6.0	2.0		2.0																1.0																	
			6.0	1.0		3.0																4.0																	
			6.0	1.0		1.0																2.0																	
			6.0	2.0		5.0																1.0																	
			6.0			2.0																																	
			6.0	5.0		5.0																																	
			6.0	5.0		4.0																1.0																	
			6.0	2.0																		2.0									1.0								
			6.0	3.0		1.0																2.0																	
			6.0	4.0		3.0																6.0																	
			6.0			6.0																																	
			6.0	5.0																		3.0				1.0													
			6.0			8.0																																	
			5.0	2.0		5.0																																	
			5.0		1.0	2.0																																	
			5.0	1.0		7.0																																	
			5.0			4.0																																	
			5.0			9.0																																	
			5.0			3.0																																	
			5.0			3.0																																	
			5.0			5.0																1.0																	
			5.0			1.0																1.0																	
			5.0	3.0		1.0																4.0																	
			5.0			2.0																																	
			5.0	1.0		1.0																																	
			5.0	1.0		3.0																																	
			5.0			5.0																																	
			5.0	6.0																		1.0																	
			5.0			10.0																																	
			5.0	1.0		6.0																																	
			5.0			5.0																																	
			5.0			1.0																1.0																	
			5.0	1.0		3.0																																	
			5.0			5.0																																	
			5.0			5.0																1.0																	
			5.0	1.0		2.0																																	
			5.0	4.0		3.0																3.0													1.0				
			5.0			1.0																2.0																	
			5.0	1.0		4.0																																	
			5.0	2.0		3.0																1.0																	
			5.0	2.0		3.0																																	
			5.0			4.0																																	
			5.0	1.0		4.0																																	
			5.0	1.0		2.0																																	
			5.0	4.0		1.0																1.0																	
			5.0	2.0		5.0																																	
			5.0			11.0																																	
			5.0	1.0		1.0																																	
			5.0	1.0																		1.0																	
			5.0			6.0																																	
			5.0			8.0																																	
			5.0	1.0		9.0																																	
			5.0	1.0		3.0																																	
			5.0	1.0		4.0																1.0																	
			5.0	2.0		1.0																2.0																	
			5.0	1.0		3.0																																	
			5.0	1.0		3.0																																	
			5.0			8.0																																	
			5.0	1.0		4.0																																	
			5.0	2.0																		17.0																	
			5.0	1.0		1.0																																	
			5.0			8.0																																	
			5.0	2.0		2.0																1.0																	
			5.0	1.0		3.0																																	
			5.0			3.0																																	
			5.0			3.0																																	
			4.0			2.0																																	
			4.0			5.0																																	
			4.0	1.0																		1.0																	
			4.0			4.0																																	
			4.0			3.0																																	
			4.0			3.0																																	
			4.0	5.0																		7.0																	
			4.0			1.0																																	
			4.0			4.0																																	
			4.0	1.0		5.0																																	
			4.0			2.0																																	
			4.0			6.0																																	
			4.0			2.0																1.0																	
			4.0			3.0																																	
			4.0			7.0																																	
			4.0	1.0		3.0																																	
			4.0			5.0																																	
			4.0	2.0		1.0																3.0																	
			4.0			1.0																																	
			4.0			4.0																																	
			4.0	1.0		2.0																																	
			4.0	1.0		5.0																																	
			4.0	1.0		4.0																																	
			4.0	1.0		2.0																																	
			4.0	2.0		1.0																																	
			4.0			3.0																																	
			4.0			3.0																																	
			4.0			2.0																																	
			4.0			3.0																																	
			4.0	1.0																		1.0																	
			4.0			2.0																																	
			4.0			1.0																																	
			4.0			3.0																																	
			4.0	1.0		5.0																																	
			4.0	2.0																		1.0																	
			4.0			3.0																																	
			4.0	2.0		2.0																1.0																	
			4.0	1.0		2.0																																	
			4.0	1.0																		2.0																	
			4.0			2.0																																	
			4.0			2.0																																	
			4.0	1.0		1.0																																	
			4.0	3.0		2.0																																	
			4.0	3.0																																			
			4.0	2.0																		1.0																	
			4.0	2.0																		5.0																	
			4.0	3.0		2.0																																	
			4.0	1.0		2.0																																	
			4.0	1.0		4.0																1.0													1.0				
			4.0			4.0																																	
			4.0	2.0		3.0																																	
			4.0	1.0		6.0																																	
			4.0			3.0																																	
			4.0			1.0																																	
			4.0			3.0																																	
			4.0			1.0																																	
			4.0	1.0		3.0																																	
			4.0	3.0		4.0																																	
			4.0	1.0		3.0																																	
			4.0			2.0																																	
			4.0	2.0		1.0																																	
			4.0	1.0		4.0																																	
			4.0			3.0																																	
			4.0	1.0																		2.0																	
			4.0	2.0																		2.0																	
			4.0			2.0																																	
			4.0	1.0		4.0																																	
			4.0			5.0																																	
			4.0	3.0		1.0																3.0																	
			4.0	1.0		1.0																																	
			4.0			4.0																2.0																	
			4.0			3.0																																	
			4.0			5.0																																	
			4.0			1.0																																	
			4.0	1.0		6.0																																	
			4.0			1.0																																	
			4.0			4.0																													3.0				
			4.0	1.0		4.0																																	
			4.0			5.0																																	
			4.0	1.0		1.0																3.0																	
			4.0			1.0																																	
			4.0	3.0		2.0																1.0																	
			4.0			4.0																																	
			4.0	1.0		3.0																																	
			4.0	2.0		5.0																																	
			4.0	3.0		3.0																						1.0											
			4.0			4.0																																	
			4.0			3.0																																	
			4.0	2.0		3.0																																	
			4.0	1.0		1.0																																	
			4.0	1.0		5.0																																	
			4.0			5.0																																	
			4.0			5.0																																	
			3.0			1.0																																	
			3.0	1.0																		1.0																	
			3.0	3.0		1.0																1.0																	
			3.0	2.0		2.0																																	
			3.0	1.0		1.0																1.0																	
			3.0	1.0																																			
			3.0	1.0		1.0																																	
			3.0			3.0																1.0																	
			3.0	1.0		1.0																																	
			3.0			2.0																																	
			3.0			6.0																																	
			3.0	1.0		5.0																																	
			3.0	1.0																																			
			3.0			3.0																																	
			3.0	3.0		2.0																1.0																	
			3.0			3.0																1.0																	
			3.0			4.0																																	
			3.0																																				
			3.0	1.0		2.0																1.0																	
			3.0			2.0																																	
			3.0			2.0																																	
			3.0	6.0																		8.0																	
			3.0	2.0		2.0																																	
			3.0	1.0		1.0																																	
			3.0			4.0																																	
			3.0			2.0																																	
			3.0	1.0		1.0																																	
			3.0	1.0		2.0																																	
			3.0			3.0																																	
			3.0			2.0																																	
			3.0	3.0																		3.0																	
			3.0			1.0																																	
			3.0			4.0																																	
			3.0			1.0																1.0																	
			3.0	2.0		4.0																																	
			3.0			1.0																																	
			3.0			2.0																																	
			3.0			3.0																																	
			3.0			5.0																																	
			3.0			5.0																																	
			3.0	1.0		3.0																																	
			3.0			8.0																																	
			3.0			3.0																																	
			3.0			3.0																																	
			3.0	1.0		2.0																																	
			3.0			2.0																																	
			3.0	2.0		4.0																2.0																	
			3.0																			2.0																	
			3.0	1.0		3.0																																	
			3.0			2.0																																	
			3.0			7.0																																	
			3.0			2.0																																	
			3.0	10.0		1.0																1.0																	
			3.0	1.0		2.0																																	
			3.0	1.0		2.0																1.0																	
			3.0			4.0																																	
			3.0			3.0																																	
			3.0			1.0																																	
			3.0			4.0																																	
			3.0	1.0		2.0																																	
			3.0	1.0		1.0																3.0																	
			3.0																																				
			3.0			4.0																																	
			3.0	2.0		2.0																1.0																	
			3.0	2.0																		2.0									1.0								
			3.0	1.0		1.0																																	
			3.0			3.0																1.0																	
			3.0			1.0																																	
			3.0			2.0																																	
			3.0			4.0																																	
			3.0			4.0																																	
			3.0	2.0		5.0																																	
			3.0	2.0		2.0																																	
			3.0			5.0																																	
			3.0			1.0																1.0																	
			3.0			1.0																3.0																	
			3.0	2.0																		1.0																	
			3.0			6.0																																	
			3.0			5.0																																	
			3.0		1.0	1.0																15.0																	
			3.0			5.0																																	
			3.0			1.0																																	
			3.0			5.0																																	
			3.0	1.0																																			
			3.0			3.0																																	
			3.0			5.0																																	
			3.0			1.0																																	
			3.0			2.0																																	
			3.0			4.0																																	
			3.0			2.0																																	
			3.0	1.0		4.0																1.0																	
			3.0			2.0																																	
			3.0	3.0																		9.0				1.0													
			3.0			1.0																																	
			3.0			3.0																																	
			3.0			3.0																																	
			3.0			2.0																																	
			3.0			4.0																																	
			3.0	2.0		1.0																																	
			3.0			2.0																																	
			3.0			5.0																																	
			3.0			6.0																																	
			3.0	3.0		1.0																14.0																	
			3.0	5.0																		1.0																	
			3.0			2.0																																	
			3.0																																				
			3.0			3.0																																	
			3.0			4.0																																	
			3.0			3.0																																	
			3.0	2.0																																			
			3.0			7.0																																	
			3.0	1.0		8.0																																	
			3.0	1.0		2.0																1.0																	
			3.0	1.0		3.0																																	
			3.0			5.0																																	
			3.0	1.0																		1.0																	
			3.0	3.0		1.0																3.0																	
			3.0			1.0																																	
			3.0			2.0																																	
			3.0	2.0		1.0																5.0																	
			3.0			6.0																																	
			3.0			1.0																																	
			3.0			3.0																																	
			3.0	3.0		2.0																																	
			3.0			2.0																2.0																	
			3.0																																				
			3.0			4.0																																	
			3.0			6.0																																	
			3.0																			1.0																	
			3.0	3.0																		1.0																	
			3.0	2.0																																			
			3.0			3.0																																	
			3.0			2.0																																	
			3.0			3.0																																	
			3.0	3.0		3.0																																	
			3.0			4.0																																	
			3.0			2.0																																	
			3.0	2.0		1.0																1.0																	
			3.0			3.0																																	
			3.0			4.0																																	
			3.0			1.0																1.0																	
			3.0			3.0																																	
			3.0			4.0																																	
			3.0	2.0		1.0																1.0																	
			3.0																																				
			3.0			2.0																1.0																	
			3.0	1.0		3.0																																	
			3.0			3.0																																	
			3.0	4.0																							1.0												
			3.0	1.0		4.0																																	
			3.0	1.0		1.0																																	
			3.0			3.0																																	
			3.0			3.0													55.0																7.0				
			3.0	2.0		1.0																3.0																	
			3.0			3.0																																	
			3.0			2.0																																	
			3.0			2.0																1.0																	
			3.0			3.0																																	
			2.0			1.0																																	
			2.0			2.0																																	
			2.0			2.0																1.0																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0	1.0		3.0																																	
			2.0			20.0																																	
			2.0			3.0																																	
			2.0			2.0																																	
			2.0	3.0																		6.0																	
			2.0			3.0																																	
			2.0	3.0		1.0																																	
			2.0	1.0																		4.0																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0	1.0		3.0																																	
			2.0			5.0																													1.0				
			2.0	1.0																		2.0																	
			2.0	1.0		1.0																																	
			2.0			4.0																																	
			2.0			1.0													39.0																				
			2.0			2.0																																	
			2.0																																				
			2.0			4.0																																	
			2.0			2.0																																	
			2.0			1.0																																	
			2.0	1.0		2.0																																	
			2.0	1.0		1.0																																	
			2.0			2.0																				1.0													
			2.0			2.0																																	
			2.0			4.0																																	
			2.0			3.0																																	
			2.0			4.0																																	
			2.0			1.0																																	
			2.0			1.0																																	
			2.0	1.0		1.0																													1.0				
			2.0	1.0		1.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0			4.0																																	
			2.0			3.0																																	
			2.0	1.0		1.0																																	
			2.0			2.0																																	
			2.0			3.0																																	
			2.0	1.0		3.0																																	
			2.0			3.0																																	
			2.0			4.0																																	
			2.0	4.0		1.0																2.0																	
			2.0			3.0													41.0																				
			2.0			2.0																																	
			2.0			1.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0	1.0		2.0																																	
			2.0	2.0																																			
			2.0			1.0																																	
			2.0	1.0																																			
			2.0	1.0		1.0																																	
			2.0																			1.0																	
			2.0			2.0																1.0																	
			2.0	2.0																		1.0																	
			2.0			4.0																																	
			2.0			1.0																																	
			2.0			2.0																																	
			2.0	1.0		2.0																4.0																	
			2.0	1.0		1.0																																	
			2.0			4.0																																	
			2.0	1.0		2.0																																	
			2.0			2.0																																	
			2.0			3.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0			2.0																																	
			2.0			1.0																																	
			2.0			1.0																																	
			2.0																																				
			2.0			2.0																																	
			2.0	2.0																		2.0																	
			2.0	5.0		1.0																3.0																	
			2.0	3.0																																			
			2.0			2.0																																	
			2.0	3.0		1.0																3.0																	
			2.0	3.0		1.0																																	
			2.0			2.0																																	
			2.0																																				
			2.0			2.0																																	
			2.0			2.0																																	
			2.0			1.0																																	
			2.0	2.0		1.0																																	
			2.0			3.0																																	
			2.0			4.0																																	
			2.0			3.0																																	
			2.0	6.0																		3.0																	
			2.0	1.0		1.0																																	
			2.0			5.0																																	
			2.0			4.0																																	
			2.0			2.0																																	
			2.0			3.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																1.0																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0																																				
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0	1.0																		1.0																	
			2.0			2.0																																	
			2.0			7.0																																	
			2.0			1.0																																	
			2.0			2.0																																	
			2.0	1.0		2.0																																	
			2.0			4.0																																	
			2.0			1.0																1.0																	
			2.0			5.0																																	
			2.0	1.0																		6.0																	
			2.0			1.0																																	
			2.0	4.0		1.0																2.0																	
			2.0			7.0																																	
			2.0	1.0																																			
			2.0																																				
			2.0	1.0																		1.0																	
			2.0	4.0																		2.0																	
			2.0			3.0																																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0	2.0																																			
			2.0	3.0																		97.0				1.0				1.0	1.0								
			2.0			5.0																																	
			2.0			2.0																																	
			2.0	2.0		1.0																																	
			2.0			2.0																																	
			2.0	2.0																																			
			2.0	1.0																																			
			2.0	1.0		2.0																																	
			2.0			4.0																																	
			2.0																			5.0																	
			2.0	6.0																		1.0																	
			2.0	1.0		3.0																																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0			3.0																																	
			2.0			3.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0	3.0		1.0																																	
			2.0	4.0		1.0																																	
			2.0			2.0																																	
			2.0																																				
			2.0			4.0																																	
			2.0	1.0		1.0																1.0																	
			2.0	3.0		2.0																																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0	1.0																		4.0				1.0													
			2.0			3.0																																	
			2.0			1.0																																	
			2.0			1.0																																	
			2.0			1.0																1.0																	
			2.0			3.0													8.0																				
			2.0	1.0	1.0																																		
			2.0	1.0		3.0																																	
			2.0																																				
			2.0																			1.0																	
			2.0																																				
			2.0	1.0		1.0																																	
			2.0	1.0		3.0																																	
			2.0	1.0																																			
			2.0			2.0																																	
			2.0	2.0																		6.0																	
			2.0			3.0																																	
			2.0			1.0																2.0																	
			2.0	1.0																																			
			2.0			2.0																																	
			2.0			4.0																																	
			2.0	1.0																																			
			2.0			2.0																																	
			2.0																																				
			2.0			2.0																																	
			2.0			4.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0			2.0																																	
			2.0	3.0		1.0																																	
			2.0			1.0																																	
			2.0			3.0																																	
			2.0			1.0													25.0																				
			2.0	2.0		2.0																																	
			2.0			1.0																																	
			2.0	1.0		1.0																																	
			2.0			2.0																																	
			2.0	1.0		1.0																																	
			2.0			1.0																																	
			2.0	3.0																		1.0																	
			2.0			4.0																																	
			2.0	1.0		2.0																1.0																	
			2.0			1.0																																	
			2.0																																				
			2.0			6.0																																	
			2.0			5.0																																	
			2.0			3.0																																	
			2.0	5.0		1.0																2.0									1.0				1.0				
			2.0			1.0																																	
			2.0			4.0																																	
			2.0			2.0																																	
			2.0	2.0		1.0																																	
			2.0			2.0																																	
			2.0	3.0																																			
			2.0	2.0																		3.0																	
			2.0			4.0																																	
			2.0	1.0		3.0																																	
			2.0			3.0																																	
			2.0			1.0																																	
			2.0			4.0																																	
			2.0			3.0																																	
			2.0			2.0																																	
			2.0																																				
			2.0	1.0		1.0																																	
			2.0			2.0																																	
			2.0			1.0																																	
			2.0			2.0																																	
			1.0			6.0																																	
			1.0	1.0																																			
			1.0			1.0																																	
			1.0																			2.0																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0																			5.0																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0	4.0		1.0																																	
			1.0	1.0		2.0																																	
			1.0			2.0																																	
			1.0	1.0																		1.0																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0	3.0																		2.0																	
			1.0	1.0																																			
			1.0			4.0																																	
			1.0	3.0																																			
			1.0	1.0		1.0																1.0																	
			1.0																																				
			1.0			4.0																																	
			1.0			1.0																																	
			1.0	1.0		2.0																1.0																	
			1.0	1.0																		2.0																	
			1.0	1.0																																			
			1.0			4.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0																																				
			1.0			1.0																																	
			1.0	2.0																																			
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0	2.0		1.0																1.0																	
			1.0	1.0																		2.0																	
			1.0	1.0		2.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0													115.0																		619.0		
			1.0			1.0																																	
			1.0			3.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0	1.0																																			
			1.0			7.0																																	
			1.0			1.0																																	
			1.0	2.0																		1.0																	
			1.0			1.0																				1.0			1.0										
			1.0																			3.0																	
			1.0			1.0																																	
			1.0			1.0													1.0																				
			1.0			1.0																																	
			1.0			2.0													51.0																				
			1.0																			2.0																	
			1.0	2.0																																			
			1.0																			2.0																	
			1.0	2.0																		4.0																	
			1.0	2.0																		1.0																	
			1.0	4.0																		2.0																	
			1.0			1.0																																	
			1.0	1.0		2.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0			2.0																																	
			1.0			1.0													1.0																				
			1.0			3.0																																	
			1.0			1.0																																	
			1.0	1.0																		3.0				1.0													
			1.0	1.0		2.0																																	
			1.0																																				
			1.0	1.0																																			
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0	1.0																																			
			1.0	5.0																		3.0																	
			1.0			2.0																																	
			1.0																																				
			1.0			3.0																													1.0				
			1.0																																				
			1.0			1.0													1.0																				
			1.0	1.0		3.0																																	
			1.0																																				
			1.0			4.0																																	
			1.0			2.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0	1.0																		2.0																	
			1.0	2.0																		1.0																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0																																				
			1.0	1.0																																			
			1.0																																				
			1.0			2.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			2.0																1.0																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0																																				
			1.0	2.0		1.0																2.0																	
			1.0			1.0																1.0																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																2.0				1.0													
			1.0	1.0																																			
			1.0	1.0		1.0																5.0																	
			1.0	2.0																																			
			1.0	4.0																		4.0																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			2.0													14.0																				
			1.0			1.0													36.0																				
			1.0			4.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0													5.0																				
			1.0	3.0																		1.0																	
			1.0	1.0																		5.0																	
			1.0	3.0		1.0																1.0																	
			1.0	2.0		1.0																9.0																	
			1.0	3.0																		2.0																	
			1.0	1.0																		10.0				1.0	1.0												
			1.0																																				
			1.0			4.0																																	
			1.0																6.0																				
			1.0			1.0																																	
			1.0	3.0																						1.0													
			1.0	1.0		1.0																1.0																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0																			9.0																	
			1.0																																				
			1.0			2.0																																	
			1.0	1.0		2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0	2.0																		2.0																	
			1.0			3.0																																	
			1.0			3.0																																	
			1.0																																				
			1.0			1.0																																	
			1.0																1.0																				
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	2.0		1.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0	1.0		1.0																																	
			1.0	1.0																																			
			1.0																			1.0																	
			1.0			1.0																																	
			1.0	1.0		1.0																																	
			1.0			4.0													35.0																				
			1.0			3.0																																	
			1.0	2.0																		2.0																	
			1.0			1.0																																	
			1.0	3.0																		11.0				1.0		1.0											
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0	1.0		2.0																																	
			1.0			3.0																																	
			1.0	1.0																																			
			1.0	6.0																		3.0																	
			1.0																			1.0																	
			1.0			1.0																																	
			1.0	2.0		2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0																			1.0																	
			1.0	1.0																		1.0				1.0													
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			4.0																																	
			1.0			1.0																																	
			1.0	1.0																																			
			1.0	1.0																																			
			1.0			1.0																																	
			1.0	2.0																		3.0																	
			1.0			1.0																																	
			1.0	2.0																		5.0																	
			1.0			1.0																4.0																	
			1.0			7.0																																	
			1.0			3.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0	1.0		1.0																14.0																	
			1.0			1.0																1.0																	
			1.0			1.0																																	
			1.0	2.0		1.0																																	
			1.0																																				
			1.0			1.0																																	
			1.0																																				
			1.0			2.0													50.0																				
			1.0			1.0																																	
			1.0	1.0		2.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0													27.0																				
			1.0			3.0																																	
			1.0																																				
			1.0																			6.0																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0																																				
			1.0			1.0																																	
			1.0	1.0		1.0																2.0																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																						1.0											
			1.0	4.0																		3.0													1.0				
			1.0	1.0																																			
			1.0	2.0																																			
			1.0			1.0																																	
			1.0	2.0																																			
			1.0			1.0																																	
			1.0																																				
			1.0			1.0																																	
			1.0			1.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0	1.0																		1.0																	
			1.0	2.0																		2.0																	
			1.0	2.0																		1.0																	
			1.0			1.0																																	
			1.0	2.0																		3.0																	
			1.0			1.0																																	
			1.0																																				
			1.0																																				
			1.0			2.0																																	
			1.0																																				
			1.0			5.0																																	
			1.0			2.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0																																				
			1.0	1.0																																			
			1.0	1.0		1.0																5.0																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0	1.0																		1.0																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	1.0		2.0																																	
			1.0	7.0																		2.0																	
			1.0			1.0																																	
			1.0																																				
			1.0			2.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0																																				
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	3.0																		1.0																	
			1.0			3.0																																	
			1.0	1.0		1.0																																	
			1.0	4.0																		5.0																	
			1.0																																				
			1.0																			2.0					1.0												
			1.0	1.0																																			
			1.0																			1.0																	
			1.0			1.0																1.0																	
			1.0	1.0		1.0																																	
			1.0			1.0													29.0																				
			1.0			5.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																1.0																	
			1.0																																				
			1.0			1.0																																	
			1.0			6.0																																	
			1.0	3.0		1.0																																	
			1.0																			1.0																	
			1.0	4.0																																			
			1.0			4.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0																																				
			1.0	1.0		2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																54.0								1.0	1.0				2.0				
			1.0	1.0																																			
			1.0			1.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0	1.0		1.0																																	
