HeatingQC,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageCond,PavedDrive,OpenPorchSF,SaleCondition,GarageType_Attchd,GarageType_Detchd,GarageType_Other,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,MoSold_1,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
1,-0.3048260807185715,-0.9106567376091039,1,-1.0273628233099534,0,0.16992708860002484,0,-0.9250621166560519,0,0,-0.5128503964600433,1,-0.4126831197005214,TA,Y,0,Normal,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0.05714653939919196,1.62707143675171,1,2.590094452011825,0,1.3856554504222593,1,2.89876085032863,1,1,1.0515041408590176,3,1.2218053000974036,TA,Y,1,Partial,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,-0.6311112594162738,-1.1636389855204623,1,-1.0273628233099534,0,-1.0458012732222097,0,-1.562365944486832,0,0,-0.6301769867589728,1,-0.5612729760457873,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,0.8524666624748413,-0.013360327048504598,0,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,1,1,1.0906130042919941,3,1.7047223332195178,TA,Y,1,Partial,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,0.23813284945807367,-0.48967846569410906,1,-1.0273628233099534,1,-1.0458012732222097,0,-0.9250621166560519,1,0,-0.7083947136249258,1,-0.5612729760457873,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,-0.77895923101367,-1.2782715666052966,0,-1.0273628233099534,0,-1.0458012732222097,0,-0.9250621166560519,0,0,0.5039800527973464,2,0.47885601837107405,TA,Y,1,Normal,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,-0.39659378722730027,-0.9818079948341735,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.9250621166560519,1,0,-0.31730607929516064,2,0.033086449335276324,TA,Y,0,Normal,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0.34774427667683305,-0.40469224178638713,0,0.7813658143509358,0,-1.0458012732222097,0,-0.28775828882527155,0,0,-0.4346326695940902,2,0.20025003772370048,TA,Y,0,Normal,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,-0.11619246178396236,-0.7644013755353498,1,-1.0273628233099534,1,0.16992708860002484,1,-0.28775828882527155,0,0,1.0123952774260412,2,0.47885601837107405,TA,Y,1,Normal,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,0.4573557038955924,-0.31970601787866515,0,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,0,0,-0.7866124404908789,1,-0.8305920906715818,TA,Y,0,Abnorml,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,-0.004031931606627215,1.7298454749656993,0,2.590094452011825,1,1.3856554504222593,1,1.6241531946670693,1,1,1.0515041408590176,3,1.7650869623597822,TA,Y,1,Partial,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1,-0.13148707953541716,-0.7762599184061948,0,-1.0273628233099534,0,0.16992708860002484,1,-0.28775828882527155,1,1,-1.8816606166142216,1,-0.8956001528226356,TA,N,0,Normal,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,1.6197466530061566,0.5815432403055492,0,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,1,1,0.9341775505600881,2,0.28383183191791256,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0,-0.2538440215470555,-0.8711282613729542,1,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,1,0,-0.0826528986973015,2,0.46028228632791585,TA,Y,1,Normal,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,-0.2538440215470555,-0.8711282613729542,1,-1.0273628233099534,0,0.16992708860002484,1,-0.28775828882527155,1,0,-0.39552380616111366,1,-0.9420344829305313,TA,Y,1,Normal,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,1.122671576083876,0.19614059700308908,0,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,1,1,1.1297218677249707,3,1.9368939837589958,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,-0.6617004949191834,-1.187356071262152,0,-1.0273628233099534,0,0.16992708860002484,1,-0.9250621166560519,0,0,1.0515041408590176,2,0.47885601837107405,TA,Y,1,Normal,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,1.387778283775759,0.4016886734310678,1,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,1,1,1.1688307311579471,3,1.3889688884858278,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,1.122671576083876,0.19614059700308908,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.28775828882527155,1,1,-0.8257213039238555,1,-0.7145062654018428,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0,-1.630359619177987,-1.9383971197489973,0,-1.0273628233099534,0,-2.2615296350444445,0,-1.562365944486832,0,0,-2.2727492509439866,1,-1.081337473254218,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,-1.3015253375217088,-0.36318734173842987,0,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,0,0,-2.2727492509439866,1,-1.0349031431463225,Fa,N,1,Normal,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,0.1744052754936787,-0.5390890609892962,0,-1.0273628233099534,1,0.16992708860002484,1,-0.28775828882527155,0,0,-0.47374153302706673,1,-0.9373910499197416,TA,Y,1,Normal,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0.1896998932451335,-0.5272305181184513,0,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,0,0,1.1297218677249707,2,0.05166018137843457,TA,Y,1,Normal,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1.3775818719414559,0.39378297818383784,0,-1.0273628233099534,1,1.3856554504222593,1,-0.28775828882527155,1,1,-0.7475035770579024,2,-0.12014684002077915,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1.0232565606994197,0.11906006834259707,1,0.7813658143509358,0,-1.0458012732222097,1,-0.28775828882527155,1,1,1.0515041408590176,2,0.3859873581552829,TA,Y,1,Normal,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,-0.07030860852959799,1.8800536846630684,0,2.590094452011825,1,1.3856554504222593,1,1.6241531946670693,1,1,1.0123952774260412,3,1.0128508146118735,TA,Y,1,Normal,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,-0.15952721207975096,-0.7980005803360771,0,-1.0273628233099534,1,0.16992708860002484,0,-0.28775828882527155,0,0,0.6604155065292524,2,0.9246255874068718,TA,Y,1,Normal,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0.35029337963540885,-0.4027158179745796,0,-1.0273628233099534,0,0.16992708860002484,0,-0.9250621166560519,1,0,-0.943047894222785,2,0.1166682435294884,TA,Y,0,Normal,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,-0.2614913304227829,-0.8770575328083766,1,-1.0273628233099534,0,0.16992708860002484,1,-0.9250621166560519,0,0,-0.9821567576557615,1,-1.0534768751894807,TA,Y,1,Abnorml,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.01932654935808201,-0.6892972706866654,0,0.7813658143509358,0,-1.0458012732222097,0,-0.28775828882527155,0,0,,0,-2.1957613958437125,,N,0,AdjLand,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0.4191191595169554,-0.3493523750557775,0,0.7813658143509358,0,0.16992708860002484,0,-0.28775828882527155,1,0,-0.5128503964600433,2,-0.15265087109630607,TA,Y,1,Abnorml,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0,0.4293155713512586,-0.34144667980854754,0,-1.0273628233099534,1,-1.0458012732222097,0,-0.9250621166560519,1,1,-0.7475035770579024,1,-0.765584028520528,TA,P,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,-0.7024861422563962,-1.2189788522510718,1,-1.0273628233099534,0,-1.0458012732222097,1,-0.9250621166560519,0,0,0.19110914533353415,2,0.14452884159422577,Gd,Y,0,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0,-0.564834582493303,-1.1122519664134676,1,-1.0273628233099534,0,0.16992708860002484,0,-0.9250621166560519,0,0,-0.04354403526432497,1,-0.765584028520528,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,-0.024424755275233606,-0.6932501183102803,1,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,0,0,-0.7475035770579024,1,-0.8027314926068444,TA,Y,0,Normal,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,1.5101352257873975,0.4965570163978272,1,0.7813658143509358,0,-1.0458012732222097,1,-0.28775828882527155,1,1,1.0515041408590176,2,0.47885601837107405,TA,Y,1,Normal,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0.9136451334806605,1.2811972696853997,1,-1.0273628233099534,1,-2.2615296350444445,1,-0.28775828882527155,1,1,0.9732864139930646,2,0.9153387213852927,TA,Y,1,Abnorml,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,1.2654213417641207,0.30682033046430834,0,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,0,0,1.0906130042919941,3,1.639714271068464,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,-1.0797533801256143,-0.09637012714441907,0,0.7813658143509358,0,-1.0458012732222097,0,0.986849366836289,0,0,,0,-2.1957613958437125,,N,0,Partial,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,-0.5214998321975144,-1.0786527616127404,1,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,0,0,-0.47374153302706673,1,-0.4033962536789423,TA,Y,0,Normal,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,-0.931905408528218,-0.060794498531884296,0,0.7813658143509358,0,0.16992708860002484,0,-0.28775828882527155,0,0,0.7386332333952055,2,-0.3941093876573632,TA,Y,1,Normal,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,-0.8758251434395504,-0.6418630992032857,0,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,1,1,0.2693268721994872,2,0.2559712338531752,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,-0.8758251434395504,-1.353375671453981,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.9250621166560519,0,0,-0.5910681233259962,2,0.20025003772370048,TA,Y,0,Normal,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,1.7395544920592192,0.674435159460501,1,-2.8360914609708425,1,-3.4772579968666792,1,-0.9250621166560519,1,1,0.11289141846758112,3,1.955467715802154,TA,Y,1,Normal,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0,0.5108868660256841,-0.2782011178307079,0,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,1,0,-0.6301769867589728,2,0.46028228632791585,TA,Y,1,Normal,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0.6765785583331111,-0.14973357006322124,0,0.7813658143509358,0,0.16992708860002484,0,0.3495455390055087,1,1,-0.5519592598930197,2,0.47885601837107405,TA,Y,0,Normal,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,-0.450124949357392,0.4708635068443298,1,0.7813658143509358,1,0.16992708860002484,1,0.3495455390055087,0,0,0.8168509602611586,2,0.033086449335276324,TA,Y,0,Abnorml,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,-0.7636646132622154,0.4333114544199876,0,0.7813658143509358,1,0.16992708860002484,1,0.3495455390055087,0,0,1.0123952774260412,2,0.42777825525238894,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,0.6791276612916869,2.8544306238841597,0,2.590094452011825,1,0.16992708860002484,1,2.2614570224978494,1,1,1.0906130042919941,3,0.7806791640723955,TA,Y,0,Partial,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,-0.9675928499482792,-1.4245269286790507,0,-1.0273628233099534,0,-1.0458012732222097,0,-1.562365944486832,0,0,-0.19997948899623105,1,-0.5612729760457873,TA,Y,0,Normal,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,-0.004031931606627215,-0.6774387278158204,1,-1.0273628233099534,1,0.16992708860002484,1,-0.9250621166560519,0,0,1.0906130042919941,2,0.47885601837107405,TA,Y,1,Partial,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,-1.4748643387048632,-0.7703306469707722,0,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,0,0,-1.6861162994493388,1,-0.8584526887363192,TA,N,0,Normal,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,0.5363778956114421,-0.258436879712633,0,0.7813658143509358,0,-1.0458012732222097,1,-0.28775828882527155,1,1,1.0906130042919941,2,0.05166018137843457,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0,-0.6566022890020318,0.4135472163019127,0,0.7813658143509358,0,0.16992708860002484,0,1.6241531946670693,0,0,0.46487118936436983,2,0.033086449335276324,TA,Y,1,Normal,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,-0.2614913304227829,1.0539085313275387,1,0.7813658143509358,1,0.16992708860002484,1,0.986849366836289,0,0,0.777742096828182,2,0.7992528961155537,TA,Y,1,Normal,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,-0.042268475985264196,1.9215585847110257,0,0.7813658143509358,1,1.3856554504222593,1,1.6241531946670693,1,1,1.0123952774260412,3,1.7604435293489926,TA,Y,1,Normal,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0,2.669977071939386,1.395829850770234,1,0.7813658143509358,0,0.16992708860002484,0,0.3495455390055087,1,1,-0.31730607929516064,2,0.47885601837107405,TA,Y,0,Normal,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0.8142301180962043,-0.04300668422561691,1,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,0,0,0.9732864139930646,2,0.395274224176862,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,-1.0517132475812805,-1.4897489144686977,0,-1.0273628233099534,0,-1.0458012732222097,0,-1.562365944486832,0,0,-1.2950276651195736,1,-1.1742061334700091,TA,Y,0,Normal,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,0.36813710034543945,1.553943755714833,0,0.7813658143509358,0,0.16992708860002484,0,0.3495455390055087,1,0,-0.9821567576557615,2,0.9014084223529241,TA,Y,1,Normal,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,2.7107627192765986,1.4274526317591538,1,0.7813658143509358,0,0.16992708860002484,0,0.986849366836289,1,1,-0.19997948899623105,2,0.20025003772370048,TA,Y,0,Normal,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,-0.8019011576408522,-1.296059380911564,1,-1.0273628233099534,0,-1.0458012732222097,0,-1.562365944486832,0,0,0.3475445990654402,2,-0.5241255119594709,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,-0.6999370392978204,0.4293586067963726,0,0.7813658143509358,1,0.16992708860002484,0,0.3495455390055087,1,0,0.777742096828182,2,-0.21301550023657034,TA,Y,1,Normal,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,-0.18756734462408473,-0.8197412422659595,1,-1.0273628233099534,0,0.16992708860002484,0,-0.28775828882527155,0,0,0.4257623259313933,2,0.07952077944317193,TA,Y,0,Normal,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.8146466724337312,0.20602271606212652,0,0.7813658143509358,0,0.16992708860002484,0,0.986849366836289,0,0,-2.4682935681088694,1,-0.43590028475446924,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,-1.6150650014265322,-1.0134307758230932,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.9250621166560519,0,0,-0.19997948899623105,1,-0.8166617916392132,TA,Y,1,Normal,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,-0.5291471410732418,-1.0845820330481628,0,-1.0273628233099534,0,-1.0458012732222097,0,-1.562365944486832,0,0,-0.8648301673568319,1,-0.881669853790267,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,-0.22325478604414592,-0.42643290371626946,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.28775828882527155,0,0,-1.177701074820644,1,-1.081337473254218,TA,Y,0,Normal,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1.55092087312461,0.5281797973867469,0,0.7813658143509358,0,1.3856554504222593,0,0.986849366836289,0,0,,0,-2.1957613958437125,,Y,0,Normal,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-1.2174049398887075,-0.5351362133656813,0,-1.0273628233099534,1,-1.0458012732222097,0,-0.9250621166560519,0,0,-0.47374153302706673,2,-0.15265087109630607,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,0.05714653939919196,1.2673623030027472,0,0.7813658143509358,1,1.3856554504222593,1,0.986849366836289,1,1,-0.39552380616111366,1,0.16774600664817357,TA,Y,1,Normal,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0.4522574979784408,-0.3236588655022801,1,0.7813658143509358,0,-1.0458012732222097,0,-0.9250621166560519,0,0,0.777742096828182,2,-0.3151710264739407,TA,Y,1,Normal,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1.0283547666165713,0.12301291596621204,0,0.7813658143509358,0,0.16992708860002484,1,-0.28775828882527155,1,1,1.1297218677249707,3,1.323960826334774,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,-0.24109850675417652,-0.8612461423139167,0,-1.0273628233099534,1,0.16992708860002484,0,-0.28775828882527155,0,0,-0.16087062556325454,2,-0.05513877786972531,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,-0.90641437894246,-0.05288880328465435,0,0.7813658143509358,1,0.16992708860002484,0,0.3495455390055087,1,0,0.6604155065292524,2,-0.33838819152788846,TA,Y,1,Normal,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0.36048979146971205,1.8108788512498064,0,0.7813658143509358,1,1.3856554504222593,1,1.6241531946670693,1,0,0.5039800527973464,2,-0.050495344858935746,TA,Y,1,Normal,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,-1.2123067339715559,0.11708364453078958,0,0.7813658143509358,1,0.16992708860002484,1,-0.28775828882527155,1,1,1.0515041408590176,2,-0.33838819152788846,TA,Y,1,Normal,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,-1.3958421469890134,-0.5469947562365262,0,0.7813658143509358,1,-1.0458012732222097,1,-1.562365944486832,0,0,1.2079395945909237,2,0.2559712338531752,TA,Y,1,Partial,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,-0.37365186060011807,0.049885234929335,0,-1.0273628233099534,0,-1.0458012732222097,0,-0.28775828882527155,0,0,,0,-2.1957613958437125,,N,0,Abnorml,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,-0.43228122864736146,-1.0094779281994783,1,-1.0273628233099534,0,0.16992708860002484,0,-0.9250621166560519,0,0,,0,-2.1957613958437125,,Y,0,Normal,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,-0.3048260807185715,-0.9106567376091039,0,-1.0273628233099534,0,-1.0458012732222097,0,-1.562365944486832,0,0,-1.099483347954691,2,-0.24551953131209725,TA,Y,1,Normal,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,0.1922489962037093,-0.5252540943066438,0,-1.0273628233099534,0,-1.0458012732222097,0,-0.28775828882527155,0,0,-0.6692858501919493,2,0.033086449335276324,TA,Y,0,Abnorml,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
1,-0.4985579055703322,-1.0608649473064728,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.9250621166560519,0,0,-2.2336403875110102,2,-0.18979833518262254,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0.25597657016810427,1.5618494509620628,0,0.7813658143509358,0,1.3856554504222593,0,1.6241531946670693,1,1,-3.054926519603517,2,0.15381570761580488,TA,Y,0,Normal,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1,-0.6489549801263044,0.5637554259992817,1,0.7813658143509358,1,0.16992708860002484,1,0.3495455390055087,0,0,0.7386332333952055,2,0.9803467835363465,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,-1.222503145805859,-0.060794498531884296,0,0.7813658143509358,1,0.16992708860002484,0,-0.28775828882527155,1,0,0.5821977796632993,2,-0.24551953131209725,TA,Y,1,Normal,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1.0920823405809663,0.1724235112613992,0,0.7813658143509358,0,0.16992708860002484,1,-0.28775828882527155,0,0,0.8168509602611586,2,-0.004061014751040151,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
